Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation,is_last_day,day,month,year,date,year-month
02/13,0.7776477973,1.5623920568,0.6504078643,1.0570646333,0,13,2,2014,2014-02-13,2014-2
02/14,0.7776477973,1.5623920568,0.6504078643,1.0570646333,0,14,2,2014,2014-02-14,2014-2
02/18,0.8248660899,1.5870215625,0.62677318,1.0570646333,0,18,2,2014,2014-02-18,2014-2
02/19,0.8615170579,1.5870215625,0.6515871231,1.0570646333,0,19,2,2014,2014-02-19,2014-2
02/20,0.973615843,1.5832967917,0.7162281843,1.054628719,0,20,2,2014,2014-02-20,2014-2
02/21,0.973615843,1.5832967917,0.7162281843,1.054628719,0,21,2,2014,2014-02-21,2014-2
02/24,0.973615843,1.5832967917,0.7162281843,1.054628719,0,24,2,2014,2014-02-24,2014-2
02/25,1.0146377991,1.5832967917,0.743930104,1.054628719,0,25,2,2014,2014-02-25,2014-2
02/26,1.0146377991,1.5832967917,0.743930104,1.054628719,0,26,2,2014,2014-02-26,2014-2
02/27,1.0146377991,1.5832967917,0.743930104,1.054628719,0,27,2,2014,2014-02-27,2014-2
02/28,1.0146377991,1.5832967917,0.743930104,1.054628719,1,28,2,2014,2014-02-28,2014-2
03/03,1.1040850503,1.6017946607,0.833571627,1.1169881143,0,3,3,2014,2014-03-03,2014-3
03/04,1.2172419967,1.6017946607,0.9090643626,1.1169881143,0,4,3,2014,2014-03-04,2014-3
03/05,1.2172419967,1.6017946607,0.9090643626,1.1169881143,0,5,3,2014,2014-03-05,2014-3
03/06,1.2172419967,1.6017946607,0.9090643626,1.1169881143,0,6,3,2014,2014-03-06,2014-3
03/07,1.2172419967,1.6017946607,0.9090643626,1.1169881143,0,7,3,2014,2014-03-07,2014-3
03/10,1.2172419967,1.6017946607,0.9090643626,1.1169881143,0,10,3,2014,2014-03-10,2014-3
03/11,1.2392129116,1.6017946607,0.9237222738,1.1169881143,0,11,3,2014,2014-03-11,2014-3
03/12,1.2392129116,1.6017946607,0.9237222738,1.1169881143,0,12,3,2014,2014-03-12,2014-3
03/13,1.2392129116,1.6017946607,0.9237222738,1.1169881143,0,13,3,2014,2014-03-13,2014-3
03/14,1.2392129116,1.6017946607,0.9237222738,1.1169881143,0,14,3,2014,2014-03-14,2014-3
03/17,1.2392129116,1.6017946607,0.9237222738,1.1169881143,0,17,3,2014,2014-03-17,2014-3
03/18,1.3842096742,1.5845108966,0.9974384238,1.1114360461,0,18,3,2014,2014-03-18,2014-3
03/19,1.3842096742,1.5845108966,0.9974384238,1.1114360461,0,19,3,2014,2014-03-19,2014-3
03/20,1.3842096742,1.5845108966,0.9974384238,1.1114360461,0,20,3,2014,2014-03-20,2014-3
03/21,1.3842096742,1.5845108966,0.9974384238,1.1114360461,0,21,3,2014,2014-03-21,2014-3
03/24,1.3842096742,1.5845108966,0.9974384238,1.1114360461,0,24,3,2014,2014-03-24,2014-3
03/25,1.3975389096,1.5845108966,1.0062874613,1.1114360461,0,25,3,2014,2014-03-25,2014-3
03/26,1.3975389096,1.5845108966,1.0062874613,1.1114360461,0,26,3,2014,2014-03-26,2014-3
03/27,1.3975389096,1.5845108966,1.0062874613,1.1114360461,0,27,3,2014,2014-03-27,2014-3
03/28,1.3975389096,1.5845108966,1.0087698237,1.1311982531,0,28,3,2014,2014-03-28,2014-3
03/31,1.3975389096,1.5845108966,1.0087698237,1.1311982531,1,31,3,2014,2014-03-31,2014-3
04/01,1.6189250439,1.6567305181,1.3044363868,1.2682409946,0,1,4,2014,2014-04-01,2014-4
04/02,1.5463191257,1.6567305181,1.2564342791,1.2682409946,0,2,4,2014,2014-04-02,2014-4
04/03,1.539491505,1.6567305181,1.2519203194,1.2682409946,0,3,4,2014,2014-04-03,2014-4
